,name,size,types,subtype,alignment,armor_class,hit_points,str_stats,dex_stats,con_stats,int_stats,wis_stats,cha_stats,dmg_vul,dmg_resist,dmg_immun,condition_immun,cr,legendary_desc,size_m
76,Ankheg,Large,monstrosity,,unaligned,14,39,17,11,13,1,13,6,,,,,2.0,,3.5
77,Ankou Soul Herald,Gargantuan,dragon,,neutral,18,407,25,10,27,17,18,19,,,"cold, necrotic, poison","charmed, exhaustion, frightened, poisoned",21.0,"The ankou can take 3 legendary actions, choosing from the options below. Only one legendary action can be used at a time and only at the end of another creature's turn. The ankou regains spent legendary actions at the start of its turn.",10.0
78,Ankou Soul Seeker,Large,dragon,,neutral,15,171,17,10,19,13,14,16,,,"cold, necrotic, poison","charmed, exhaustion, frightened, poisoned",8.0,,3.5
79,Anophiloi,Small,monstrosity,,neutral,12,33,12,14,14,5,12,6,cold,poison,,poisoned,1.0,,0.9
80,Anubian,Medium,elemental,,chaotic evil,13,44,12,16,12,10,12,10,,"bludgeoning, piercing, and slashing from nonmagical weapons",poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",2.0,,1.8
81,Apau Perape,Large,fiend,demon,chaotic evil,16,95,21,18,19,10,12,15,,"fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical weapons",poison,"frightened, poisoned",6.0,,3.5
82,Ape,Medium,beast,,unaligned,12,19,16,14,14,6,12,7,,,,,0.5,,1.8
83,Arbeyach,Large,fiend,devil,lawful evil,17,275,22,20,25,19,21,25,,"acid, cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison","charmed, frightened, poisoned, stunned",21.0,"Arbeyach can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Arbeyach regains spent legendary actions at the start of its turn.",3.5
84,Arborcyte,Large,plant,,chaotic neutral,16,127,21,12,16,5,10,3,fire,"bludgeoning, piercing",,deafened,8.0,,3.5
85,Arboreal Grappler,Medium,aberration,,neutral evil,14,90,16,16,16,6,10,6,,,,,3.0,,1.8
86,Arcamag,Tiny,monstrosity,shapechanger,neutral,13,22,7,10,15,5,12,18,,,,,2.0,,0.6
87,Arcanaphage,Medium,monstrosity,,unaligned,14,60,10,18,16,2,10,8,,"bludgeoning, piercing, and slashing from magical weapons",,"blinded, charmed, deafened, frightened, prone",4.0,,1.8
88,Archaeopteryx,Tiny,beast,,unaligned,12,7,6,13,10,2,14,6,,,,,0.25,,0.6
89,Archmage,Medium,humanoid,any race,any alignment,12,99,10,14,12,20,15,16,,"damage from spells; non magical bludgeoning, piercing, and slashing (from stoneskin)",,,12.0,,1.8
90,Aridni,Small,fey,,neutral evil,15,82,9,21,14,12,11,16,,,,,5.0,,0.9
91,Armory Golem,Large,construct,,unaligned,15,136,20,14,16,10,10,2,,,"poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",7.0,,3.5
92,Asanbosam,Large,aberration,,chaotic evil,14,102,18,13,17,11,10,5,,,,,5.0,,3.5
93,Ash Drake,Small,dragon,,neutral evil,16,117,14,15,16,9,15,10,,fire,,"paralyzed, unconscious",4.0,,0.9
94,Assassin,Medium,humanoid,any race,any non-good alignment,15,78,11,16,14,13,11,10,,poison,,,8.0,,1.8
95,Astral Snapper,Medium,aberration,,neutral evil,12,78,12,15,14,12,16,8,,bludgeoning and slashing from nonmagical attacks,,,3.0,,1.8
96,Automata Devil,Large,fiend,devil,lawful evil,17,168,24,17,20,11,14,19,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,10.0,,3.5
97,Avatar Of Boreas,Medium,elemental,shapechanger,chaotic evil,20,168,25,22,22,18,19,21,,acid,"cold, lightning, poison, thunder","petrification, poisoned",17.0,"Boreas can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Boreas regains spent legendary actions at the start of its turn.",1.8
98,Avatar of Shoth,Gargantuan,aberration,shoth,lawful neutral,18,341,20,9,20,18,20,22,,,"acid, cold, fire","charmed, frightened, prone",21.0,"The avatar can take 3 legendary actions, choosing from the options below. Only one legendary action can be used at a time and only at the end of another creature's turn. The avatar regains spent legendary actions at the start of its turn.",10.0
99,Awakened Shrub,Small,plant,,unaligned,9,10,3,8,11,10,10,6,fire,piercing,,,0.0,,0.9
100,Awakened Tree,Huge,plant,,unaligned,13,59,19,6,15,10,10,7,fire,"bludgeoning, piercing",,,2.0,,6.86
101,Axe Beak,Large,beast,,unaligned,11,19,14,12,12,2,10,5,,,,,0.25,,3.5
102,Azeban,Medium,fey,,chaotic neutral,16,78,16,16,14,15,8,18,,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with cold iron",,"charmed, frightened",4.0,,1.8
103,Azer,Medium,elemental,,lawful neutral,17,39,17,12,15,12,13,10,,,"fire, poison",poisoned,2.0,,1.8
104,Azi Dahaka,Huge,dragon,,chaotic evil,15,157,21,14,19,14,13,17,,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silver",lightning,,14.0,"Azi Dahaka can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Azi Dahaka regains spent legendary actions at the start of its turn.",6.86
105,Azza Gremlin,Small,fey,,neutral,14,7,5,18,10,12,13,10,,,"lightning, thunder",,0.25,,0.9
106,"Baba Yaga's Horsemen, Black Night",Medium,fey,,lawful neutral,20,171,22,11,21,16,18,18,,"bludgeoning, piercing, and slashing damage from nonmagical weapons","cold, lightning, poison","exhaustion, paralyzed, poisoned",11.0,,1.8
107,"Baba Yaga's Horsemen, Bright Day",Medium,fey,,lawful neutral,20,171,22,11,21,16,18,18,,"bludgeoning, piercing, and slashing damage from nonmagical weapons, cold and fire","lightning, poison","exhaustion, paralyzed, poisoned",11.0,,1.8
108,"Baba Yaga's Horsemen, Red Sun",Medium,fey,,lawful neutral,20,171,22,11,21,16,18,18,,"bludgeoning, piercing, and slashing damage from nonmagical weapons","fire, lightning, poison","blinded, charmed, exhaustion, frightened, paralyzed, poisoned",11.0,,1.8
109,Baboon,Small,beast,,unaligned,12,3,8,14,11,4,12,6,,,,,0.0,,0.9
110,Badger,Tiny,beast,,unaligned,10,3,4,11,12,2,12,5,,,,,0.0,,0.6
111,Bagiennik,Medium,aberration,,chaotic neutral,15,75,16,18,16,9,16,11,,,,,3.0,,1.8
112,Balor,Huge,fiend,demon,chaotic evil,19,262,26,15,22,20,16,22,,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical weapons","fire, poison",poisoned,19.0,,6.86
113,Bandit,Medium,humanoid,any race,any non-lawful alignment,12,11,11,12,12,10,10,10,,,,,0.125,,1.8
114,Bandit Captain,Medium,humanoid,any race,any non-lawful alignment,15,65,15,16,14,14,11,14,,,,,2.0,,1.8
115,Bandit Lord,Medium,humanoid,,any non-lawful,16,91,16,15,14,14,11,14,,,,,4.0,,1.8
116,Bar Brawl,Huge,humanoid,,unaligned,12,67,14,12,13,11,10,9,bludgeoning,"piercing, slashing",,"charmed, frightened, paralyzed, petrified, prone, restrained, stunned",3.0,,6.86
117,Barbed Devil,Medium,fiend,devil,lawful evil,15,110,16,17,18,12,14,14,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,5.0,,1.8
118,Barong,Large,celestial,,lawful good,20,225,25,20,25,18,23,22,,"bludgeoning, piercing, and slashing from nonmagical attacks",radiant,"charmed, exhaustion, frightened",17.0,"Barong can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Barong regains spent legendary actions at the start of his turn.",3.5
119,Basilisk,Medium,monstrosity,,unaligned,12,52,16,8,15,2,8,7,,,,,3.0,,1.8
120,Bastet Temple Cat,Small,monstrosity,,chaotic neutral,14,40,8,19,12,12,16,18,,,,,1.0,,0.9
121,Bat,Tiny,beast,,unaligned,12,1,2,15,8,2,12,4,,,,,0.0,,0.6
122,Bathhouse Drake,Medium,dragon,,lawful neutral,16,75,15,14,17,12,18,15,,fire,poison,poisoned,3.0,,1.8
123,Bear King,Medium,fey,shapechanger,lawful neutral,18,133,21,10,20,12,17,16,,cold,"poison; bludgeoning, slashing, and piercing from nonmagical weapons that aren't made of cold iron",poisoned,12.0,"The Bear King can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The Bear King regains spent legendary actions at the start of his turn.",1.8
124,Bearded Devil,Medium,fiend,devil,lawful evil,13,52,16,15,15,9,11,11,,"cold; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison",poisoned,3.0,,1.8
125,Bearfolk,Medium,humanoid,bearfolk,chaotic good,14,45,19,14,16,8,12,9,,,,,3.0,,1.8
126,Bearfolk Chieftain,Medium,humanoid,bearfolk,chaotic good,17,130,21,14,16,9,14,12,,,,,6.0,,1.8
127,Bearmit Crab,Large,monstrosity,,unaligned,14,59,18,13,16,4,13,6,,bludgeoning,,,2.0,,3.5
128,Beggar Ghoul,Medium,undead,,chaotic evil,12,13,10,15,10,12,11,14,,,poison,"charmed, exhaustion, poisoned",0.5,,1.8
129,Behir,Huge,monstrosity,,neutral evil,17,168,23,16,18,7,14,12,,,lightning,,11.0,,6.86
130,Behtu,Small,humanoid,,chaotic evil,14,52,17,16,16,12,11,7,,"cold, fire, lightning",,,2.0,,0.9
131,Beli,Small,fey,,neutral evil,15,45,11,16,12,8,11,14,,,cold,,2.0,,0.9
132,Bereginyas,Tiny,fey,,neutral evil,15,70,14,20,12,13,12,11,,,bludgeoning,,4.0,,0.6
133,Berserker,Medium,humanoid,any race,any chaotic alignment,13,67,16,12,17,9,11,9,,,,,2.0,,1.8
134,Berstuc,Large,fiend,demon,chaotic evil,18,157,22,10,20,12,14,19,,"acid, fire; bludgeoning, piercing, and slashing damage from nonmagical weapons","lightning, poison",poisoned,11.0,,3.5
135,Bilwis,Medium,elemental,,chaotic evil,13,49,12,16,10,10,13,16,,"lightning, thunder",poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",1.0,,1.8
136,Black Bear,Medium,beast,,unaligned,11,19,15,10,14,2,12,7,,,,,0.5,,1.8
137,Black Dragon Wyrmling,Medium,dragon,,chaotic evil,17,33,15,14,13,10,11,13,,,acid,,2.0,,1.8
